City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,68.76,few clouds,38.5167,-28.7,Quinta da Meia Eira
1,Havoysund,NO,32.88,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
2,Ngunguru,NZ,60.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
4,Lompoc,US,66.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
5,Sept-Iles,CA,48.72,mist,50.2001,-66.3821,Comfort Inn
6,Vila Velha,BR,68.97,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
7,Severo-Kurilsk,RU,42.04,scattered clouds,50.6789,156.125,Kak Doma
10,Rodeo,US,60.33,overcast clouds,38.033,-122.2669,Captain's Cottage
11,Mombetsu,JP,47.86,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
13,Muros,ES,55.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
14,Mount Gambier,AU,57.36,few clouds,-37.8333,140.7667,The Commodore
16,Vardo,NO,35.06,light rain,70.3705,31.1107,Vardø Hotel AS
17,Nenjiang,CN,46.42,broken clouds,49.1833,125.2167,Nenjiang Apartment
18,Faya,SA,56.8,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
20,Kalemie,CD,69.48,overcast clouds,-5.9475,29.1947,Mahobilali
24,Ushuaia,AR,36.21,light rain,-54.8,-68.3,Albatros Hotel
32,Zubtsov,RU,41.36,overcast clouds,56.1753,34.5894,Rogovo
34,Bellevue,US,54.55,few clouds,47.6104,-122.2007,The Westin Bellevue
36,Pabrade,LT,39.63,light rain,55.0,25.7833,Pavovere 2
38,Antofagasta,CL,57.52,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
39,Yellowknife,CA,42.42,overcast clouds,62.456,-114.3525,The Explorer Hotel
47,East London,ZA,62.4,scattered clouds,-33.0153,27.9116,Tu Casa
48,Kodiak,US,41.18,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
49,Punta Arenas,CL,39.31,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
