City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,68.76,87,13,10.33,few clouds
1,Havoysund,NO,70.9963,24.6622,32.88,60,100,11.74,light snow
2,Ngunguru,NZ,-35.6167,174.5,60.17,95,100,24.2,overcast clouds
3,Dikson,RU,73.5069,80.5464,13.87,88,100,17.9,overcast clouds
4,Lompoc,US,34.6391,-120.4579,66.78,90,90,15.01,mist
5,Sept-Iles,CA,50.2001,-66.3821,48.72,97,90,1.99,mist
6,Vila Velha,BR,-20.3297,-40.2925,68.97,83,98,3.22,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,42.04,72,39,13.18,scattered clouds
8,Egvekinot,RU,66.3167,-179.1667,12.11,83,100,6.87,overcast clouds
9,Dwarka,IN,22.2394,68.9678,79.86,66,15,13.82,few clouds
10,Rodeo,US,38.033,-122.2669,60.33,86,100,7.0,overcast clouds
11,Mombetsu,JP,44.3525,143.3525,47.86,90,100,11.79,overcast clouds
12,Georgetown,MY,5.4112,100.3354,84.13,79,20,4.61,few clouds
13,Muros,ES,42.7762,-9.0603,55.24,90,5,5.1,clear sky
14,Mount Gambier,AU,-37.8333,140.7667,57.36,74,15,8.48,few clouds
15,Rikitea,PF,-23.1203,-134.9692,74.07,83,9,19.66,clear sky
16,Vardo,NO,70.3705,31.1107,35.06,60,100,20.42,light rain
17,Nenjiang,CN,49.1833,125.2167,46.42,52,56,9.71,broken clouds
18,Faya,SA,18.3851,42.4509,56.8,36,98,6.02,overcast clouds
19,Gaoual,GN,11.75,-13.2,74.89,84,96,1.81,light rain
20,Kalemie,CD,-5.9475,29.1947,69.48,85,98,5.61,overcast clouds
21,Susangerd,IR,31.5608,48.1831,71.01,25,0,9.08,clear sky
22,Bambous Virieux,MU,-20.3428,57.7575,73.22,82,59,13.22,broken clouds
23,Vaini,TO,-21.2,-175.2,72.93,65,98,18.41,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,36.21,86,39,11.5,light rain
25,Tautira,PF,-17.7333,-149.15,73.42,87,67,33.31,light rain
26,Edd,ER,13.9297,41.6925,84.04,72,6,6.08,clear sky
27,Henderson,US,36.0397,-114.9819,76.82,17,1,14.97,clear sky
28,Butaritari,KI,3.0707,172.7902,82.27,78,77,18.57,light rain
29,Saskylakh,RU,71.9167,114.0833,-13.47,100,87,3.06,overcast clouds
30,Khatanga,RU,71.9667,102.5,1.99,94,98,11.23,overcast clouds
31,Avarua,CK,-21.2078,-159.775,73.45,64,20,5.75,few clouds
32,Zubtsov,RU,56.1753,34.5894,41.36,77,100,14.85,overcast clouds
33,Souillac,MU,-20.5167,57.5167,73.36,85,36,11.9,scattered clouds
34,Bellevue,US,47.6104,-122.2007,54.55,89,20,3.0,few clouds
